Sat Apr  5 09:35:11 CEST 2025, Eurostoxx 50, 4866.15
Sat Apr  5 09:40:13 CEST 2025, Eurostoxx 50, 4866.15
Sat Apr  5 09:45:07 CEST 2025, Eurostoxx 50, 4866.15
Sat Apr  5 09:50:04 CEST 2025, Eurostoxx 50, 4866.15
Sat Apr  5 09:55:04 CEST 2025, Eurostoxx 50, 4866.15
Sat Apr  5 10:00:10 CEST 2025, Eurostoxx 50, 4866.15
Sat Apr  5 10:06:24 CEST 2025, Eurostoxx 50, 4866.15
Sat Apr  5 10:10:06 CEST 2025, Eurostoxx 50, 4866.15
Sat Apr  5 10:15:27 CEST 2025, Eurostoxx 50, 4866.15
Sat Apr  5 10:20:04 CEST 2025, Eurostoxx 50, 4866.15
Sat Apr  5 10:30:05 CEST 2025, Eurostoxx 50, 4866.15
